Label,Weight
Menschen,20283
Land,15498
Deutschland,15013
deutschen,11144
Ende,10195
Türkei,8947
Zeit,8878
Welt,7645
Berlin,7147
Politik,6234
zusammen,6203
neue,5872
neuen,5868
Euro,5834
Frage,5305
Europa,4736
Länder,4522
Deutschlands,4423
Entwicklung,4117
deutsche,3669
Zukunft,3594
China,3276
Regierung,3156
Wohnungen,3114
Bereich,2704
Wirtschaft,2381
Merkel,2381
Höhe,1947
europäischen,1821
Präsident,1448
Schicksalsgemeinschaft,1438
beiden,1381
Krieg,1340
Kunden,1119
Zusammenarbeit,999
Ländern,938
politischen,914
Westen,909
TEUR,782
Unternehmen,736
Russland,607
Verbindlichkeiten,560
Staaten,529
Wachstum,508
Europas,481
Virus,441
USA,346
EU,252
Geschäftsjahr,247
chinesische,193
İşbank,176
Peking,168
Xi,154
Trump,137
Bank,126
EUR,124
chinesischen,122
Deutschen,119
Li,116
globalen,94
Investitionen,93
Risiken,83
Vergleich,50
Krise,34
Ukraine,29
Demokratie,29
Italien,23
Taiwan,19
Menschheit,17
