id,Label,Weight
Menschen,Menschen,20283
Land,Land,15498
Deutschland,Deutschland,15013
deutschen,deutschen,11144
Ende,Ende,10195
Türkei,Türkei,8947
Zeit,Zeit,8878
Welt,Welt,7645
Berlin,Berlin,7147
Politik,Politik,6234
zusammen,zusammen,6203
neue,neue,5872
neuen,neuen,5868
Euro,Euro,5834
Frage,Frage,5305
Europa,Europa,4736
Länder,Länder,4522
Deutschlands,Deutschlands,4423
Entwicklung,Entwicklung,4117
deutsche,deutsche,3669
Zukunft,Zukunft,3594
China,China,3276
Regierung,Regierung,3156
Wohnungen,Wohnungen,3114
Bereich,Bereich,2704
Wirtschaft,Wirtschaft,2381
Merkel,Merkel,2381
Höhe,Höhe,1947
europäischen,europäischen,1821
Präsident,Präsident,1448
Schicksalsgemeinschaft,Schicksalsgemeinschaft,1438
beiden,beiden,1381
Krieg,Krieg,1340
TEUR,TEUR,782
Verbindlichkeiten,Verbindlichkeiten,560
