id,Label,Weight
China,China,596
USA,USA,367
Europa,Europa,262
Deutschland,Deutschland,255
Welt,Welt,212
Russland,Russland,154
chinesischen,chinesischen,116
Menschen,Menschen,110
deutsche,deutsche,105
EU,EU,105
Virus,Virus,103
Land,Land,98
Demokratie,Demokratie,96
Pandemie,Pandemie,94
Wirtschaft,Wirtschaft,94
Westen,Westen,90
Länder,Länder,89
Menschheit,Menschheit,84
Ukraine,Ukraine,81
deutschen,deutschen,79
globalen,globalen,79
Ländern,Ländern,79
Taiwan,Taiwan,73
Schicksalsgemeinschaft,Schicksalsgemeinschaft,72
Entwicklung,Entwicklung,69
beiden,beiden,68
Staaten,Staaten,67
Italien,Italien,66
Krieg,Krieg,65
Unternehmen,Unternehmen,64
Xi,Xi,64
Deutschlands,Deutschlands,62
Berlin,Berlin,61
neuen,neuen,58
neue,neue,57
Peking,Peking,56
Corona,Corona,50
Weber,Weber,46
Ende,Ende,45
Zukunft,Zukunft,41
BSZ,BSZ,37
