Label,Weight
Menschen,18393
Land,14058
Deutschland,13627
deutschen,10105
Ende,9236
Türkei,8120
Zeit,8051
Welt,6956
Berlin,6479
Politik,5650
zusammen,5624
neue,5339
neuen,5338
Euro,5290
Europa,4309
Länder,4104
Entwicklung,3731
deutsche,3334
Zukunft,3263
China,2987
Regierung,2863
Wohnungen,2826
Bereich,2453
Merkel,2163
Wirtschaft,2154
Höhe,1783
Präsident,1323
Schicksalsgemeinschaft,1314
Kunden,1028
Zusammenarbeit,909
TEUR,770
Unternehmen,689
Verbindlichkeiten,544
Staaten,477
Wachstum,466
USA,304
Geschäftsjahr,247
EU,219
chinesische,182
Xi,177
İşbank,166
Peking,165
Trump,151
Bank,120
chinesischen,109
Li,108
EUR,104
Investitionen,84
Risiken,77
Vergleich,43
