title,url,tag
Proteste in Tbilissi: Georgien zieht geplantes hAgentengesetzh nach Protesten zurück,https://www.zeit.de/politik/2023-03/georgien-agenten-gesetz-proteste,"""Georgien"", ""Demonstration"", ""Tbilissi"", ""Journalismus"", ""Pressefreiheit"", ""Russland"", ""Protest"", ""Tiflis"", ""Agentengesetz"", ""Gesetzentwurf"""
Hafencity: Große Pläne für die Hafencity,https://www.zeit.de/hamburg/2023-03/elbvertiefung-09-03-2023,"""Christian Charisius"", ""Annika Lasarzik"", ""Christoph Twickel"", ""Erna Hansen"", ""Esther Bejarano"", ""Andreas Kleinau"", ""Daniel Haas"", ""Hamburg"", ""St. Pauli"", ""Finkenwerder"""
Synodaler Weg: Katholiken ringen zum vorerst letzten Mal um die Erneuerung der Kirche,https://www.zeit.de/gesellschaft/2023-03/katholische-kirche-synodaler-weg-reform,"""Kirche"", ""Religion"", ""Katholische Kirche"", ""Zölibat"", ""Homosexualität"", ""Deutsche Bischofskonferenz"", ""Synodalversammlung"", ""Versammlung"""
"Koalitionsverhandlungen in Berlin: hEs ist falsch, der Berliner CDU die Regierung anzuvertrauenh",https://www.zeit.de/politik/deutschland/2023-03/berlin-koalitionsverhandlungen-spd-cdu-schwarz-rot,"""Berlin"", ""SPD"", ""CDU"", ""Koalitionsverhandlung"", ""Landtagswahl"", ""Abgeordnetenhaus"""
Hessen: Boris Rhein fordert Engagement des Kanzlers in Flüchtlingspolitik,https://www.zeit.de/politik/deutschland/2023-03/hessen-cdu-boris-rhein-fluechtlinge-wahkmapf-olaf-scholz,"""Hessen"", ""Olaf Scholz"", ""Nancy Faeser"", ""CDU"", ""Flüchtlingspolitik"", ""Migration"", ""Flüchtlingespolitik"", ""Tagesspiegel"", ""Bundesinnenministerium"", ""Bundesregierung"""
Georgien: Ausschreitungen bei Protest gegen hAgentengesetzh in Tbilissi,https://www.zeit.de/politik/ausland/2023-03/georgien-protest-gesetzesentwurf,"""Georgien"", ""Tbilissi"", ""Demonstration"", ""Protest"", ""Pressefreiheit"", ""Russland"", ""EU"", ""Agentengesetz"", ""Gesetzesentwurf"", ""Kaukasusland"""
(Z+) Hamburger HafenCity: Große Erwartungen,https://www.zeit.de/hamburg/2023-03/hamburg-hafencity-bauprojekte-immobilien-andreas-kleinau,"""HafenCity"", ""Hamburg"", ""Geld"", ""Immobilienmarkt"", ""Bauindustrie"", ""Stadtplanung"", ""Andreas Kleinau"", ""The Edge"", ""Jürgen Bruns-Berentelg"", ""Science City"""
Solidarität mit der Ukraine: Nie erlebte Westwärme,https://www.zeit.de/politik/deutschland/2023-03/ukraine-solidaritaet-ablehnung-westen-linke-rechte,"""Krieg in der Ukraine"", ""Waffenlieferung"", ""Solidarität"", ""USA"", ""Politische Linke"", ""Politische Rechte"""
Stephan Protschka: Staatsanwaltschaft stellt Ermittlungen gegen AfD-Abgeordneten ein,https://www.zeit.de/politik/deutschland/2023-03/afd-bundestagsabgeordneter-stephan-protschka-staatsanwaltschaft-landshut-ermittlungen,"""Bundestag"", ""AfD"", ""Landshut"", ""Ermittlung"", ""Fälschung"", ""Berlin"", ""Stephan Protschka"", ""Martin Strunz"", ""Moritz Küstner"", ""Tobias Timm"""
(Z+) Besteck: Hält länger als ein Leben,https://www.zeit.de/zeit-magazin/2023/11/besteck-mono-v-garnitur-ohne-strom,"""Mirko Borsche"", ""eBay"", ""Tafelgabel"", ""Tafellöffel"", ""Alltagsgegenstand"", ""Kaffeelöffel"""
(Z+) Veronika Grimm: hDer Preis wird das regelnh,https://www.zeit.de/2023/11/veronika-grimm-verbrenner-verbot,"""Europäische Union"", ""Verkehrswende"", ""Autoindustrie"", ""E-Fuels"", ""FDP"", ""Verbrennerverbot"", ""Veronika Grimm"", ""Wirtschaftsweise"""
(Z+) Manuela Schwesig: Es brennt!,https://www.zeit.de/2023/11/manuela-schwesig-klimastiftung-mv,"""Manuela Schwesig"", ""Mecklenburg-Vorpommern"", ""Erwin Sellering"", ""Nord Stream 2"", ""Stiftung"", ""Klimastiftung"""
(Z+) Rheinmetall: Fabrik an der Front,https://www.zeit.de/2023/11/rheinmetall-ukraine-fabrik-panzer,"""Krieg in der Ukraine"", ""Rheinmetall"", ""Rüstungsindustrie"", ""Panzer"""
"Internationaler Frauentag: Kämpfen, das ist für sie Alltag",https://www.zeit.de/campus/2023-03/internationaler-frauentag-feminismus-frauenrechte,"""Frauentag"", ""Feminismus"", ""Gleichberechtigung"", ""Texas"", ""Mexiko"", ""Türkei"", ""Kampftag"""
Digitale Bildung: Berufseinsteiger fühlen sich nicht fit für digitale Arbeitswelt,https://www.zeit.de/arbeit/2023-03/digitale-bildung-arbeitswelt-jugendliche-studie,"""Berufseinstieg"", ""Jugendliche"", ""Digitalisierung"", ""Technologie"", ""Arbeitsplatz"", ""Bildung"", ""Vodafone Stiftung Deutschland"""
Verbrenner-Aus: Warum E-Fuels bei Autos keine Rolle spielen werden,https://www.zeit.de/mobilitaet/2023-03/e-fuels-verbrenner-aus-eu-verkehrswende,"""Europäische Union"", ""Europa"", ""E-Fuels"", ""Elektromobilität"", ""Verkehrswende"""
Metro-Aufseherin in Georgien: hEine Schicht dauert zwölf Stundenh,https://www.zeit.de/arbeit/2022-12/georgien-tbilissi-metro-aufseherin-arbeitsalltag,"""Georgien"", ""Tbilissi"", ""Berufswahl"", ""Arbeitsplatz"", ""Nahverkehr"", ""Geflüchtete"", ""Häuschen"", ""Kritik"", ""Sicherheit"""
Gesetz gegen hausländische Agentenh: Proteste in Georgien gegen prorussische Außenpolitik,https://www.zeit.de/politik/ausland/2023-03/georgien-protest-gesetz-russland-europa-agenten-ausland,"""Georgien"", ""Europäische Union"", ""Russland"", ""Außenpolitik"", ""Demonstration"", ""Protest"", ""Tränengas"", ""Wasserwerfereinsatz"", ""Gesetzentwurf"""
(Z+) Psychotherapie: Notizen aus der Praxis,https://www.zeit.de/2023/10/psychotherapie-notizen-protokoll-einblick,"""Psychologie"", ""Psychotherapie"", ""Rudolf Steiner"", ""Aufzeichnung"""
(Z+) Therapieplatz: Mut zur Gruppe,https://www.zeit.de/2023/06/therapieplatz-psychotherapie-wartezeiten-depressionen-gruppentherapie,"""Psychotherapie"", ""Depression"", ""psychische Störung"", ""Psyche"", ""Gesundheitssystem"", ""Gruppentherapie"", ""Bernhard Strauß"", ""Deutschland"", ""Barmer"", ""Behandlungsplatz"""
"Vergiftungen im Iran: Verhaftet werden Journalisten, keine Täter",https://www.zeit.de/politik/ausland/2023-03/iran-vergiftungen-maedchenschulen,"""Ali Chamene\u2019i"", ""Iran"", ""Qom"", ""Vergiftung"", ""Schule"", ""Frauen"""
"Gesetz zur illegalen Migration: 28 Tage ins Internierungslager, dann abschieben",https://www.zeit.de/politik/ausland/2023-03/illegale-migration-gesetz-grossbritannien-boote,"""Rishi Sunak"", ""Großbritannien"", ""Migration"", ""Asyl"", ""Abschiebung"", ""Geflüchtete"""
Energiewende: Elektroschocks,https://www.zeit.de/2023/10/energiewende-basf-stellenabbau-energiepreis,"""Energiewende"", ""BASF"", ""Hildegard Müller"", ""Berlin"", ""Brüssel"", ""Elektromobilität"""
Türkische Opposition: Der Anti-Erdo\u011fan,https://www.zeit.de/politik/2023-03/tuerkei-opposition-kemal-kilicdaroglu-nachrichtenpodcast,"""Recep Tayyip Erdogan"", ""Türkei"", ""Opposition"", ""China"", ""USA"", ""SPD"""
Justizreform in Israel: Nach Plan,https://www.zeit.de/politik/ausland/2023-03/israel-justizreform-benjamin-netanjahu-supreme-court,"""Benjamin Netanjahu"", ""Israel"", ""Knesset"", ""Reform"", ""Verfassungsgericht"""
(Z+) Stalingrad: hEine europäische Völkerschlachth,https://www.zeit.de/zeit-geschichte/2023/01/stalingrad-bevoelkerung-stadt-erinnerung-geschichte,"""Stalingrad"", ""Sowjetunion"", ""Zweiter Weltkrieg"", ""Wolgograd"", ""Russland"", ""Vernichtungskrieg"""
Kim Jong Un: Nordkorea droht USA wegen Militärübungen mit Eskalation,https://www.zeit.de/politik/ausland/2023-03/kim-jong-un-nordkorea-drohung-usa-suedkorea-eskalation-militaeruebungen,"""Kim Jong Un"", ""Nordkorea"", ""Südkorea"", ""USA"", ""Militär"", ""Korea"", ""Militärübung"", ""Eskalation"""
"Cyberchondrie: Morgens Bauchspeicheldrüsenkrebs, mittags Darmdurchbruch",https://www.zeit.de/campus/2023-03/krankheit-selbstdiagnose-internet-cyberchondrie,"""Internet"", ""Gesundheitswesen"", ""Google Inc."", ""Psychologie"""
KI-Chatbot von Meta: Ein Llama auf Abwegen,https://www.zeit.de/digital/internet/2023-03/llama-ki-chatbot-meta-leak,"""Meta"", ""Facebook"", ""ChatGPT"", ""künstliche Intelligenz"", ""Chatbot"""
Mara\u015f in der Türkei: Die Stadt ist weg. Und auch mein inneres Mara\u015f erschüttert,https://www.zeit.de/gesellschaft/2023-03/tuerkei-erdebeben-maras-herkunft-erinnerungen,"""Türkei"", ""Istanbul"", ""Europa"", ""Familie"", ""Erdbeben"""
"Berlin-Wahl: Sie wollen Schwarz-Rot verhindern, unbedingt",https://www.zeit.de/campus/2023-03/berlin-wahl-franziska-giffey-jusos-cdu,"""Berlin"", ""CDU"", ""SPD"", ""Jusos"", ""Franziska Giffey"", ""Berliner Senat"", ""Peter Maaß"", ""Sinem Ta\u015fan-Funke"", ""Lucas Schaal"""
Lehrkräftemangel: Lehrerinnen und Lehrer: Geht streiken!,https://www.zeit.de/gesellschaft/schule/2023-03/lehrkraeftemangel-schule-bildung-streik,"""Lehrer"", ""Schule"", ""Streik"", ""Arbeitskampf"", ""Kultusministerium"", ""Lehrermangel"", ""Lehrkräftemangel"", ""Kultusministerkonferenz"""
Kabinettsklausur in Meseberg: Streit um EU-Verbot für Verbrennungsmotoren geht weiter,https://www.zeit.de/politik/deutschland/2023-03/meseberg-kabinettssitzung-verbrennungsmotoren-eu-von-der-leyen,"""Ursula von der Leyen"", ""Olaf Scholz"", ""Volker Wissing"", ""FDP"", ""EU-Kommission"", ""Autoindustrie"""
Bangladesch : Großbrand in Rohingya-Geflüchtetenlager zerstört Tausende Unterkünfte,https://www.zeit.de/gesellschaft/2023-03/bangladesch-rohingya-gefluechtetenlager-grossbrand-myanmar-gefluechtete-muslime,"""Bangladesch"", ""Myanmar"", ""Brand"", ""Geflüchtete"", ""Feuerwehr"", ""Unterkunft"""
"hTatorth Münster: Das Internet, das ist die Zukunft",https://www.zeit.de/kultur/film/2023-03/tatort-muenster-magic-mom-obduktionsbericht,"""Fernsehserie"", ""Münster"", ""WDR"", ""ARD"""
(Z+) Norbert Sachser: Sind sie wie wir?,https://www.zeit.de/2023/10/norbert-sachser-tiere-gefuehle-verhaltensbiologie,"""Biologie"", ""Verhaltensforschung"", ""Tiere"", ""Säugetier"", ""Evolution"", ""Verhaltensbiologie"", ""Norbert Sachser"", ""Instinkt"""
El Ni\u00f1o: Großwetterlage,https://www.zeit.de/2023/10/el-nino-weltklima-trockenheit-hitze,"""El Ni\u00f1o"", ""Klimawandel"", ""Klimakrise"", ""Hitze"", ""Pazifik"", ""Naturkatastrophe"", ""Trockenheit"", ""Großwetterlage"", ""Weltwetterlage"", ""Temperaturrekord"""
Schutz der Hochsee: Naturschützer loben UN-Abkommen als hriesigen Erfolgh,https://www.zeit.de/wissen/2023-03/un-abkommen-schutz-der-meere-wwf-greenpeace,"""Vereinte Nationen"", ""Umweltschutz"", ""Naturschutz"", ""Biodiversität"", ""WWF"", ""Greenpeace"", ""Hochsee"", ""Weltmeer"", ""Ozean"""
(Z+) hNichts als die Wahrheith: Zwischen zwei Päpsten,https://www.zeit.de/gesellschaft/2023-03/nichts-als-die-wahrheit-georg-gaenswein-buch,"""Literatur"", ""Benedikt XVI."", ""Joseph Ratzinger"", ""Katholische Kirche"""
(Z+) Wuppertal: Das neue Berlin heißt Wuppertal,https://www.zeit.de/2023/10/wuppertal-berlin-trend-christian-boros,"""Berlin"", ""Wuppertal"", ""Karstadt"", ""Duisburg"", ""Nordrhein-Westfalen"""
Russische Invasion: Nach dem Krieg braucht es eine gemeinsame Ordnung,https://www.zeit.de/politik/ausland/2023-03/ukraine-krieg-russland-nachkriegsordnung-eu-nato,"""Wladimir Putin"", ""Russland"", ""Europa"", ""Sowjetunion"", ""Nato"", ""Krieg in der Ukraine"""
(Z+) Nord-Stream-Pipelines: Wohl nicht von innen gesprengt,https://www.zeit.de/politik/ausland/2023-03/nord-stream-pipelines-anschlag-sabotage-ermittlungen,"""Nord Stream"", ""Ostsee"", ""Ostsee-Pipeline"", ""Bundesanwaltschaft"", ""Ermittlung"", ""Greenpeace"", ""Anschlag"", ""Sabotage"""
(Z+) Klimaschutz im Kongo: Was sind euch diese Bäume wert?,https://www.zeit.de/2023/10/klimaschutz-kongo-erdoel-industrienationen,"""Kongo"", ""Klimaschutz"", ""Regenwald"", ""Erdöl"", ""Kinshasa"", ""UN-Klimakonferenz"""
(Z+) Demenzkranke Großmutter: Goldfischoma,https://www.zeit.de/zeit-magazin/2023/10/grossmutter-demenz-pflege-alltag-altersheim,"""Schriftstellerin"", ""Hamburg"", ""ZEIT"", ""C&A"", ""Pflege"", ""Altersheim"", ""Umzug"", ""Goldfisch"", ""Familie"", ""Liebe"""
Cyberangriffe: Sicherheitsforscher kapern Bing-Chat,https://www.zeit.de/digital/2023-03/cyberangriffe-microsoft-bing-chat-piraten,"""Sicherheitsforschung"", ""künstliche Intelligenz"", ""Microsoft"", ""IT-Sicherheit"", ""Software"", ""Kriminalität"", ""Kai Greshake"", ""Stanford University"", ""Universität des Saarlandes"", ""CISPA - Helmholtz-Zentrum für Informationssicherheit"""
"(Z+) Susanne Baer: hErschütternd, dramatisch und langweiligh",https://www.zeit.de/2023/10/susanne-baer-bundesverfassungsgericht-justiz-feminismus,"""Susanne Baer"", ""Verfassungsgericht"", ""Feminismus"", ""Homosexualität"", ""Gericht"", ""Frauen"", ""Gender"", ""Bundesverfassungsgericht"""
